# trailing_flap_deflection  alpha                     Rey                       Mach                      trailing_flap_fraction    CL                        CD                        Cm                       
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          0.0000000000E+00          0.0000000000E+00         -6.1450000000E-01          1.6760000000E-02          7.8000000000E-03
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          0.0000000000E+00          2.5000000000E-01         -1.4583000000E+00          4.7970000000E-02          1.3820000000E-01
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          0.0000000000E+00          5.0000000000E-01         -1.6355000000E+00          1.0231000000E-01          1.2310000000E-01
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          2.0000000000E-01          0.0000000000E+00         -6.2590000000E-01          1.7410000000E-02          6.5000000000E-03
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          2.0000000000E-01          2.5000000000E-01         -1.4546000000E+00          5.1780000000E-02          1.3070000000E-01
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          2.0000000000E-01          5.0000000000E-01         -1.5866000000E+00          1.1210000000E-01          1.1990000000E-01
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          4.0000000000E-01          0.0000000000E+00         -6.6460000000E-01          1.9960000000E-02          1.7000000000E-03
        -3.4906585040E-01         -8.7266462600E-02          1.0000000000E+05          4.0000000000E-01          2.5000000000E-01         -1.3370000000E+00          6.5790000000E-02          9.8900000000E-02
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          0.0000000000E+00          0.0000000000E+00         -6.3240000000E-01          1.0960000000E-02          1.3400000000E-02
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          0.0000000000E+00          2.5000000000E-01         -1.4739000000E+00          3.6510000000E-02          1.5110000000E-01
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          0.0000000000E+00          5.0000000000E-01         -1.6685000000E+00          8.1300000000E-02          1.3560000000E-01
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          2.0000000000E-01          0.0000000000E+00         -6.4800000000E-01          1.1340000000E-02          1.2900000000E-02
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          2.0000000000E-01          2.5000000000E-01         -1.4869000000E+00          3.8810000000E-02          1.4660000000E-01
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          2.0000000000E-01          5.0000000000E-01         -1.6744000000E+00          8.6270000000E-02          1.3070000000E-01
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          4.0000000000E-01          0.0000000000E+00         -7.0000000000E-01          1.2710000000E-02          1.0300000000E-02
        -3.4906585040E-01         -8.7266462600E-02          4.0000000000E+05          4.0000000000E-01          2.5000000000E-01         -1.5053000000E+00          4.9640000000E-02          1.2830000000E-01
        -3.4906585040E-01         -6.9813170080E-02          1.0000000000E+05          0.0000000000E+00          0.0000000000E+00         -5.3720000000E-01          1.5200000000E-02          1.4600000000E-02
        -3.4906585040E-01         -6.9813170080E-02          1.0000000000E+05          0.0000000000E+00          2.5000000000E-01         -1.2918000000E+00          3.9180000000E-02          1.2850000000E-01
        -3.4906585040E-01         -6.9813170080E-02          1.0000000000E+05          0.0000000000E+00          5.0000000000E-01         -1.6974000000E+00          8.5680000000E-02          1.3740000000E-01
        -3.4906585040E-01         -6.9813170080E-02          1.0000000000E+05          2.0000000000E-01          0.0000000000E+00         -5.4900000000E-01          1.5610000000E-02          1.3900000000E-02
        -3.4906585040E-01         -6.9813170080E-02          1.0000000000E+05          2.0000000000E-01          2.5000000000E-01         -1.3304000000E+00          4.1910000000E-02          1.2950000000E-01
        -3.4906585040E-01         -6.9813170080E-02          1.0000000000E+05          2.0000000000E-01          5.0000000000E-01         -1.6620000000E+00          9.4020000000E-02          1.3080000000E-01
